location,year,age,sex,mx,cause,prev
Kenya,1990,18,Female,0.00252679,Seborrhoeic dermatitis,7.4658187395972e-4
Kenya,1990,18,Female,0.00252679,Stomach cancer,5.734908474395998e-7
Kenya,1990,19,Male,0.00330562,Seborrhoeic dermatitis,6.6201330903637e-4
Kenya,1990,19,Male,0.00330562,Stomach cancer,8.692466040180504e-7
Kenya,1990,19,Female,0.0026998,Seborrhoeic dermatitis,7.4658187395972e-4
Kenya,1990,19,Female,0.0026998,Stomach cancer,1.78686888263321e-6
Kenya,1990,20,Male,0.00361399,Seborrhoeic dermatitis,7.748886203900261e-4
Kenya,1990,20,Male,0.00361399,Stomach cancer,8.692466040180504e-7
Kenya,1990,20,Female,0.00288163,Seborrhoeic dermatitis,8.182537269158061e-4
Kenya,1990,20,Female,0.00288163,Stomach cancer,1.78686888263321e-6
Kenya,1990,21,Male,0.0038897100000000002,Seborrhoeic dermatitis,7.748886203900261e-4
Kenya,1990,21,Male,0.0038897100000000002,Stomach cancer,8.692466040180504e-7
Kenya,1990,21,Female,0.00305419,Seborrhoeic dermatitis,8.182537269158061e-4
Kenya,1990,21,Female,0.00305419,Stomach cancer,1.78686888263321e-6
Kenya,1990,22,Male,0.00412786,Seborrhoeic dermatitis,7.748886203900261e-4
Kenya,1990,22,Male,0.00412786,Stomach cancer,8.692466040180504e-7
Kenya,1990,22,Female,0.00323635,Seborrhoeic dermatitis,8.182537269158061e-4
Kenya,1990,22,Female,0.00323635,Stomach cancer,1.78686888263321e-6
Kenya,1990,23,Male,0.00431257,Seborrhoeic dermatitis,7.748886203900261e-4
Kenya,1990,23,Male,0.00431257,Stomach cancer,8.692466040180504e-7
Kenya,1990,23,Female,0.00340797,Seborrhoeic dermatitis,8.182537269158061e-4
Kenya,1990,23,Female,0.00340797,Stomach cancer,1.78686888263321e-6
Kenya,1990,24,Male,0.00446962,Seborrhoeic dermatitis,7.748886203900261e-4
Kenya,1990,24,Male,0.00446962,Stomach cancer,1.9068044645755572e-6
Kenya,1990,24,Female,0.0035809,Seborrhoeic dermatitis,8.182537269158061e-4
Kenya,1990,24,Female,0.0035809,Stomach cancer,3.6518389473540452e-6
Kenya,1990,25,Male,0.00460265,Seborrhoeic dermatitis,7.72419057161998e-4
Kenya,1990,25,Male,0.00460265,Stomach cancer,1.9068044645755572e-6
Kenya,1990,25,Female,0.00375668,Seborrhoeic dermatitis,7.69726172159034e-4
Kenya,1990,25,Female,0.00375668,Stomach cancer,3.6518389473540452e-6
Kenya,1990,26,Male,0.0047319,Seborrhoeic dermatitis,7.72419057161998e-4
Kenya,1990,26,Male,0.0047319,Stomach cancer,1.9068044645755572e-6
Kenya,1990,26,Female,0.00392241,Seborrhoeic dermatitis,7.69726172159034e-4
Kenya,1990,26,Female,0.00392241,Stomach cancer,3.6518389473540452e-6
Kenya,1990,27,Male,0.0048758,Seborrhoeic dermatitis,7.72419057161998e-4
Kenya,1990,27,Male,0.0048758,Stomach cancer,1.9068044645755572e-6
Kenya,1990,27,Female,0.00408075,Seborrhoeic dermatitis,7.69726172159034e-4
Kenya,1990,27,Female,0.00408075,Stomach cancer,3.6518389473540452e-6
Kenya,1990,28,Male,0.00504021,Seborrhoeic dermatitis,7.72419057161998e-4
Kenya,1990,28,Male,0.00504021,Stomach cancer,1.9068044645755572e-6
Kenya,1990,28,Female,0.00425292,Seborrhoeic dermatitis,7.69726172159034e-4
Kenya,1990,28,Female,0.00425292,Stomach cancer,3.6518389473540452e-6
Kenya,1990,29,Male,0.00520805,Seborrhoeic dermatitis,7.72419057161998e-4
Kenya,1990,29,Male,0.00520805,Stomach cancer,3.84010036502009e-6
Kenya,1990,29,Female,0.0043901,Seborrhoeic dermatitis,7.69726172159034e-4
Kenya,1990,29,Female,0.0043901,Stomach cancer,5.6456360371313595e-6
Kenya,1990,30,Male,0.00545351,Seborrhoeic dermatitis,8.5614494703899e-4
Kenya,1990,30,Male,0.00545351,Stomach cancer,3.84010036502009e-6
Kenya,1990,30,Female,0.00459099,Seborrhoeic dermatitis,8.55004169382398e-4
Kenya,1990,30,Female,0.00459099,Stomach cancer,5.6456360371313595e-6
Kenya,1990,31,Male,0.00561422,Seborrhoeic dermatitis,8.5614494703899e-4
Kenya,1990,31,Male,0.00561422,Stomach cancer,3.84010036502009e-6
