country,year,age,births,expos,asfr,version
Belgium,2012,15,72.0613402948211,61190.5,0.0011776556866641243,session
Belgium,2013,15,48.48404529078744,60822,7.971465142676571e-4,session
Belgium,2014,15,52.03496357960458,60429.5,8.61085456268951e-4,session
Belgium,2015,15,47.48622564492406,60899,7.797537832300048e-4,session
Belgium,2016,15,37.413743902843684,61045.5,6.128829136110554e-4,session
Czechia,2012,15,53.01074119792914,44264,0.0011976039489862901,session
Czechia,2013,15,55.00566797826494,44102,0.0012472374944053543,session
Czechia,2014,15,62.005644060081934,43819.5,0.0014150239975372137,session
Czechia,2015,15,66.01549603568785,43822,0.0015064464432405606,session
Czechia,2016,15,47.009596946022725,44346.5,0.0010600520209266284,session
Spain,2012,15,379.2233441702477,208310,0.001820475945323065,session
Spain,2013,15,391.20369431826487,207811,0.0018824975305362318,session
Spain,2014,15,375.22544737212905,210317.5,0.0017840904697522986,session
Spain,2015,15,390.20329305092605,216231,0.0018045668431026357,session
Spain,2016,15,341.2028514704118,219626.5,0.0015535595725944356,session
Croatia,2012,15,36.02328478344193,24558,0.001466865574698344,session
Croatia,2013,15,42.01788487550724,23855.5,0.0017613499979253105,session
Croatia,2014,15,27.00682576600263,22607.5,0.001194595853853926,session
Croatia,2015,15,24.010243551097712,21498,0.0011168594079029542,session
Croatia,2016,15,18.005276341736398,20392.5,8.829361942741889e-4,session
Belgium,2012,16,161.13716371480828,61032,0.0026402078207302445,session
Belgium,2013,16,184.84542267112712,61527.5,0.003004273254579288,session
Belgium,2014,16,180.1210277755543,61102,0.0029478745012528934,session
Belgium,2015,16,131.344879443407,60729,0.0021628032643943914,session
Belgium,2016,16,120.33068984968644,61219,0.0019655775143286635,session
Czechia,2012,16,225.04559942517088,45657,0.004929049202207129,session
Czechia,2013,16,204.02102304665542,44315,0.004603881824363205,session
Czechia,2014,16,230.0209376422394,44179,0.005206567320270704,session
Czechia,2015,16,177.04155755025374,43911,0.004031827049036773,session
Czechia,2016,16,223.04553444602274,43916.5,0.0050788549735525995,session
Spain,2012,16,896.528011547604,206632.5,0.004338756059901535,session
Spain,2013,16,855.4454185220369,208164.5,0.004109468322033953,session
Spain,2014,16,878.5278474472782,207639.5,0.004231024672315615,session
Spain,2015,16,806.4201389719138,210564,0.003829810124104376,session
Spain,2016,16,813.4836312183132,216903.5,0.0037504403166307284,session
Croatia,2012,16,102.06597355308547,24236.5,0.004211250533413879,session
Croatia,2013,16,92.03917639396823,24507,0.0037556280407217623,session
Croatia,2014,16,98.02477500252806,23809,0.004117131126990972,session
Croatia,2015,16,86.03670605810014,22527,0.003819270478008618,session
Croatia,2016,16,75.02198475723499,21367.5,0.003511032397670995,session
Belgium,2012,17,417.3552625408388,61003.5,0.006841497004939696,session
Belgium,2013,17,341.40848558929486,61451.5,0.005555738844280365,session
Belgium,2014,17,346.2326422796766,61827.5,0.00559997804018724,session
Belgium,2015,17,306.134603625787,61454.5,0.004981483921043813,session
Belgium,2016,17,295.2652221521717,61121.5,0.004830791491572879,session
Czechia,2012,17,483.09788676603347,49829,0.009695115028718887,session
Czechia,2013,17,422.0434888514147,45855,0.00920387065426703,session
Czechia,2014,17,412.0375056895767,44602.5,0.009237991271556004,session
Czechia,2015,17,447.1049504235222,44531.5,0.010040195152274731,session
Czechia,2016,17,417.0851473721591,44233,0.009429275594514482,session
Spain,2012,17,1677.988253755951,207116,0.0081016833743214,session
Spain,2013,17,1581.8236335477666,206523,0.0076593097792873755,session
Spain,2014,17,1489.8951763656005,208061,0.007160857519504378,session
Spain,2015,17,1493.7782475000836,207926,0.007184182100843971,session
Spain,2016,17,1394.829252052065,211281,0.006601773240622985,session
Croatia,2012,17,191.12353871215024,23844,0.008015582063082966,session
Croatia,2013,17,172.07324282350584,24230,0.007101660867664294,session
Croatia,2014,17,182.0460107189807,24496.5,0.007431511061538616,session
Croatia,2015,17,182.07768026249101,23752.5,0.007665621735080139,session
Croatia,2016,17,158.0463145552417,22434.5,0.007044788809879503,session
Belgium,2012,18,753.6415172500039,62886.5,0.011984154266019,session
Belgium,2013,18,612.1110717961915,61653,0.009928325820255162,session
Belgium,2014,18,621.4175458256624,62031,0.010017854714991897,session
Belgium,2015,18,564.7829816066501,62514,0.009034503976815595,session
Belgium,2016,18,528.8483259780336,62158,0.008508129701374458,session
Czechia,2012,18,952.1929362345008,56331.5,0.01690338329770201,session
Czechia,2013,18,801.0825463743677,50385.5,0.015899069104690192,session
Czechia,2014,18,771.0701866181156,46543.5,0.016566656710778425,session
Czechia,2015,18,752.1765608914736,45265.5,0.016616994419402717,session
Czechia,2016,18,744.1519176136363,45034,0.01652422431082374,session
Spain,2012,18,2700.590516927437,213594.5,0.012643539589865081,session
Spain,2013,18,2398.2487347337105,207670.5,0.011548336112898608,session
Spain,2014,18,2310.388154619323,207131,0.011154236471698215,session
Spain,2015,18,2218.15564280488,209324.5,0.010596732072953141,session
Spain,2016,18,2183.298011461697,209684,0.010412325267839688,session
