year,age,expos,sex
1952,40,106.196,f
1952,41,103.187,f
1952,42,100.483,f
1952,43,98.289,f
1952,44,95.1275,f
1952,45,90.198,f
1952,46,84.506,f
1952,47,79.206,f
1952,48,73.8235,f
1952,49,69.809,f
1952,50,68.807,f
1952,51,69.4115,f
1952,52,69.914,f
1952,53,70.3085,f
1952,54,70.2275,f
1952,55,68.4505,f
1952,56,65.6,f
1952,57,63.051,f
1952,58,60.646,f
1952,59,58.194,f
1952,60,56.36,f
1952,61,54.731,f
1952,62,52.841,f
1952,63,50.914,f
1952,64,48.32,f
1952,65,44.125,f
1952,66,39.0335,f
1952,67,34.2175,f
1952,68,29.503,f
1952,69,25.3675,f
1952,70,22.779,f
1952,71,20.8775,f
1952,72,18.8345,f
1952,73,16.9505,f
1952,74,14.956,f
1952,75,12.3555,f
1952,76,9.5995,f
1952,77,7.273,f
1952,78,5.238,f
1952,79,3.8595,f
1952,80,3.485,f
1952,81,3.6365,f
1952,82,3.771,f
1952,83,3.9125,f
1952,84,3.794,f
1952,85,3.139,f
1952,86,2.248,f
1952,87,1.571,f
1952,88,1.044,f
1952,89,0.6315,f
1952,90,0.43,f
1952,91,0.35,f
1952,92,0.255,f
1952,93,0.1725,f
1952,94,0.133,f
1952,95,0.1005,f
1952,96,0.0705,f
1952,97,0.055,f
1952,98,0.051,f
1952,99,0.0425,f
1952,100+,0.0755,f
1953,0,371.0155,f
1953,1,328.2565,f
1953,2,301.7735,f
1953,3,292.824,f
1953,4,291.691,f
1953,5,281.209,f
1953,6,272.563,f
1953,7,266.328,f
1953,8,258.618,f
1953,9,256.063,f
1953,10,258.48,f
1953,11,260.3985,f
1953,12,261.7025,f
1953,13,257.5615,f
1953,14,248.701,f
1953,15,236.731,f
1953,16,225.725,f
1953,17,216.5115,f
1953,18,207.982,f
1953,19,199.819,f
1953,20,191.961,f
1953,21,185.7565,f
1953,22,180.528,f
1953,23,174.969,f
1953,24,169.1545,f
1953,25,164.345,f
1953,26,160.747,f
1953,27,157.6535,f
1953,28,154.5145,f
1953,29,151.712,f
1953,30,148.1235,f
1953,31,142.412,f
1953,32,135.7175,f
1953,33,129.593,f
1953,34,123.6065,f
1953,35,118.482,f
1953,36,115.686,f
1953,37,114.025,f
1953,38,112.114,f
1953,39,110.117,f
1953,40,108.137,f
1953,41,105.533,f
1953,42,102.484,f
1953,43,99.745,f
1953,44,97.5155,f
1953,45,94.3345,f
1953,46,89.41,f
1953,47,83.7355,f
1953,48,78.4515,f
1953,49,73.0875,f
1953,50,69.0745,f
1953,51,68.036,f
1953,52,68.5795,f
1953,53,69.0195,f
1953,54,69.3475,f
1953,55,69.206,f
1953,56,67.393,f
1953,57,64.5245,f
1953,58,61.952,f
1953,59,59.5195,f
1953,60,57.039,f
1953,61,55.1565,f
1953,62,53.463,f
