year,age,sex,population
2014,0,Female,206305
2014,0,Male,218576
2014,0,Total,424881
2014,1,Female,219473
2014,1,Male,233543
2014,1,Total,453016
2014,2,Female,229099
2014,2,Male,243553
2014,2,Total,472652
2014,3,Female,232165
2014,3,Male,247355
2014,3,Total,479520
2014,4,Female,236883
2014,4,Male,253661
2014,4,Total,490544
2014,5,Female,250259
2014,5,Male,267319
2014,5,Total,517578
2014,6,Female,241600
2014,6,Male,257466
2014,6,Total,499066
2014,7,Female,239903
2014,7,Male,255662
2014,7,Total,495565
2014,8,Female,235955
2014,8,Male,249654
2014,8,Total,485609
2014,9,Female,232828
2014,9,Male,247852
2014,9,Total,480680
2014,10,Female,230150
2014,10,Male,242314
2014,10,Total,472464
2014,11,Female,220517
2014,11,Male,233430
2014,11,Total,453947
2014,12,Female,219629
2014,12,Male,231297
2014,12,Total,450926
2014,13,Female,217723
2014,13,Male,232683
2014,13,Total,450406
2014,14,Female,214199
2014,14,Male,225899
2014,14,Total,440098
2014,15,Female,206358
2014,15,Male,220678
2014,15,Total,427036
2014,16,Female,208831
2014,16,Male,220753
2014,16,Total,429584
2014,17,Female,207132
2014,17,Male,218508
2014,17,Total,425640
2014,18,Female,206153
2014,18,Male,219506
2014,18,Total,425659
2014,19,Female,209855
2014,19,Male,222797
2014,19,Total,432652
2014,20,Female,220201
2014,20,Male,231785
2014,20,Total,451986
2014,21,Female,230136
2014,21,Male,240005
2014,21,Total,470141
2014,22,Female,231439
2014,22,Male,240541
2014,22,Total,471980
2014,23,Female,238435
2014,23,Male,244467
2014,23,Total,482902
2014,24,Female,246645
2014,24,Male,250963
2014,24,Total,497608
2014,25,Female,255043
2014,25,Male,257292
2014,25,Total,512335
2014,26,Female,262647
2014,26,Male,263779
2014,26,Total,526426
2014,27,Female,273053
2014,27,Male,272394
2014,27,Total,545447
2014,28,Female,283984
2014,28,Male,285002
2014,28,Total,568986
2014,29,Female,297627
2014,29,Male,298487
2014,29,Total,596114
2014,30,Female,308997
2014,30,Male,310823
2014,30,Total,619820
2014,31,Female,328065
2014,31,Male,332013
2014,31,Total,660078
2014,32,Female,342721
2014,32,Male,349973
2014,32,Total,692694
2014,33,Female,360338
2014,33,Male,369469
2014,33,Total,729807
2014,34,Female,371795
2014,34,Male,382013
2014,34,Total,753808
2014,35,Female,387447
2014,35,Male,403003
2014,35,Total,790450
2014,36,Female,391913
2014,36,Male,411313
2014,36,Total,803226
2014,37,Female,399976
2014,37,Male,418155
2014,37,Total,818131
2014,38,Female,396589
2014,38,Male,416723
2014,38,Total,813312
2014,39,Female,394760
2014,39,Male,412890
2014,39,Total,807650
2014,40,Female,384796
2014,40,Male,403188
2014,40,Total,787984
2014,41,Female,383409
2014,41,Male,401370
2014,41,Total,784779
2014,42,Female,377765
2014,42,Male,393337
2014,42,Total,771102
2014,43,Female,373188
2014,43,Male,387996
2014,43,Total,761184
